2011,1,0,4.6,-1.1,4.1,327,-11
2011,1,1,4.5,1,4.3,334,-11
2011,1,2,4.6,1,4.7,331,-9
2011,1,3,3.3,0.6,5.7,340,-5
2011,1,4,3.2,-1.1,7,340,-3
2011,1,5,3.1,-1.1,7.3,342,-4
2011,1,6,3.4,-2.6,7.5,345,-5
2011,1,7,3.8,-0.8,7.8,343,-6
2011,1,8,4.4,-1.6,7.2,349,-5
2011,1,9,4.7,-0.7,7.3,346,-7
2011,1,10,4.9,-2,7.7,341,-7
2011,1,11,5,-2.9,7.2,338,-9
2011,1,12,4.9,-3.8,6.6,334,-11
2011,1,13,4.8,-3.7,6.4,328,-13
2011,1,14,4.6,-2,7.1,323,-13
2011,1,15,4.6,-1.9,6.3,324,-10
2011,1,16,4.7,0.8,6.4,326,-9
2011,1,17,5,-1.3,6.5,325,-10
2011,1,18,4.8,1,6.7,316,-9
2011,1,19,4.8,0.3,6.6,308,-7
2011,1,20,4.8,-1.6,6.5,305,-5
2011,1,21,4.8,-2,7.1,303,-6
2011,1,22,5.1,-2.5,8.7,308,-5
2011,1,23,5.6,-2.3,7.9,307,-1
2011,2,0,6,-0.5,7,309,-1
2011,2,1,5.4,-2,11.4,325,1
2011,2,2,3.6,-1.6,17.2,336,3
2011,2,3,6.2,4.3,13.1,337,3
2011,2,4,6.9,4.7,11.8,336,3
2011,2,5,6.8,4.7,11.5,335,3
2011,2,6,6.7,4.5,13.1,331,5
2011,2,7,5.3,0.8,13,330,3
2011,2,8,5.5,-0.1,9.6,351,-2
2011,2,9,5.3,1.9,10,350,0
2011,2,10,5.7,0.7,12,336,1
2011,2,11,4.9,1.6,14.1,333,5
2011,2,12,6.3,0,12.5,338,6
2011,2,13,6.4,-0.9,10.7,339,7
2011,2,14,5.8,0.2,10.6,332,5
2011,2,15,6.3,-3.9,9.6,338,4
2011,2,16,6.9,-1.3,9.1,333,2
2011,2,17,7.5,2.2,8.1,336,-1
2011,2,18,6.2,0.6,6.9,353,-2
2011,2,19,5.8,-2.1,8.8,358,-2
2011,2,20,4.8,-0.4,11.5,362,-2
2011,2,21,5.4,0.6,9.6,359,0
2011,2,22,5.9,-1,6.8,353,-2
2011,2,23,6.2,-0.6,6.6,349,-4
2011,3,0,6.2,-1.2,6,342,-3
2011,3,1,6.2,-0.9,6.6,340,-3
2011,3,2,6,-1.3,6.8,337,-3
2011,3,3,5.8,-1.3,7.5,335,-2
2011,3,4,5.5,-1.6,9.1,346,-1
2011,3,5,5.3,-1.2,10,350,0
2011,3,6,5.5,-0.1,10.8,347,0
2011,3,7,6.1,-0.4,11.3,344,2
2011,3,8,6.4,-0.3,13.2,344,4
2011,3,9,6.1,0.1,13.8,338,3
2011,3,10,5.7,0.7,13.6,328,5
2011,3,11,5.1,-0.8,19.1,323,9
2011,3,12,4.5,-1.2,19,318,5
2011,3,13,6.6,-3.4,10.5,312,0
2011,3,14,6,-1.2,11.5,312,1
2011,3,15,4.3,2.4,14,336,5
2011,3,16,3.9,1.2,14.7,348,5
2011,3,17,5.6,-4.4,13.7,355,0
2011,3,18,6.4,-2.2,12.1,352,-8
2011,3,19,5.6,0.1,9.4,385,-8
2011,3,20,7.2,3.8,7.9,378,-5
2011,3,21,7.4,2.6,7.6,375,-2
2011,3,22,9.5,6.6,6.3,376,-1
2011,3,23,8.4,5.5,8.2,386,1
2011,4,0,7.7,1,8.1,386,1
2011,4,1,6.8,0,8.8,393,1
2011,4,2,5.4,1.5,10.4,402,5
2011,4,3,5.2,-3.7,8.9,399,5
2011,4,4,4.7,-0.5,7.3,404,0
2011,4,5,4.5,0.3,6.7,414,-1
2011,4,6,5.3,-0.8,6.2,426,-4
2011,4,7,5.5,-0.7,5.9,422,-8
2011,4,8,5.1,-0.7,5.8,421,-8
2011,4,9,5.2,-1,5.6,418,-9
2011,4,10,5.2,-1,5.6,415,-7
2011,4,11,4.7,-1.2,5.2,419,-1
2011,4,12,4.3,-1.9,4.7,426,3
2011,4,13,4.2,-1.5,4.6,425,-1
2011,4,14,4.1,-1.8,4.3,423,0
2011,4,15,3.8,-1.7,4.8,422,0
2011,4,16,3.7,-0.9,5,415,-2
2011,4,17,2.9,-0.4,4.9,409,-4
2011,4,18,2.1,-0.7,4.9,404,-4
2011,4,19,3.1,-0.7,4.7,407,-5
2011,4,20,3.4,-0.4,3.9,404,-4
2011,4,21,2.5,-0.3,3.9,401,-3
2011,4,22,2.6,-0.2,3.8,397,-4
