2011,1,0,4.6,127.7,-1.1,0.1,1,41138,4.1,327,9.999,0.88,-11
2011,1,1,4.5,115.2,1,0.1,2.8,32775,4.3,334,0.007,0.82,-11
2011,1,2,4.6,123.9,1,0.1,2,31139,4.7,331,0.007,0.88,-9
2011,1,3,3.3,122.8,0.6,0.9,2.8,30376,5.7,340,0.006,1.13,-5
2011,1,4,3.2,124.2,-1.1,0.2,1.1,31869,7,340,0.006,1.38,-3
2011,1,5,3.1,111.5,-1.1,0.3,0.8,33498,7.3,342,0.006,1.46,-4
2011,1,6,3.4,125.6,-2.6,0.5,1.2,34890,7.5,345,0.006,1.53,-5
2011,1,7,3.8,113.1,-0.8,0.3,1.5,36450,7.8,343,0.006,1.57,-6
2011,1,8,4.4,97.1,-1.6,0.2,1,33195,7.2,349,0.006,1.5,-5
2011,1,9,4.7,104.4,-0.7,0.2,1.1,33862,7.3,346,0.006,1.49,-7
2011,1,10,4.9,120.4,-2,0.2,1.6,40803,7.7,341,0.006,1.53,-7
2011,1,11,5,120.7,-2.9,0.2,1.2,37747,7.2,338,0.006,1.41,-9
2011,1,12,4.9,130.9,-3.8,0.1,0.5,35970,6.6,334,0.006,1.26,-11
2011,1,13,4.8,151.4,-3.7,0.1,0.3,37203,6.4,328,0.007,1.18,-13
2011,1,14,4.6,141.8,-2,0.1,0.7,38680,7.1,323,0.007,1.27,-13
2011,1,15,4.6,133.6,-1.9,0.2,2.1,28554,6.3,324,0.006,1.13,-10
2011,1,16,4.7,113.5,0.8,0.2,1.6,19580,6.4,326,0.006,1.16,-9
2011,1,17,5,118,-1.3,0.2,1.6,19544,6.5,325,0.005,1.17,-10
2011,1,18,4.8,141.5,1,0.1,1.8,19639,6.7,316,0.006,1.14,-9
2011,1,19,4.8,155.4,0.3,0.1,0.6,21582,6.6,308,0.007,1.07,-7
2011,1,20,4.8,163.3,-1.6,0,0.6,19500,6.5,305,0.007,1.04,-5
2011,1,21,4.8,170.3,-2,0.2,0.3,23589,7.1,303,0.008,1.12,-6
2011,1,22,5.1,168.3,-2.5,0.3,0.8,37849,8.7,308,0.015,1.46,-5
2011,1,23,5.6,164.7,-2.3,0.1,0.7,34580,7.9,307,0.008,1.28,-1
2011,2,0,6,137.4,-0.5,0.4,0.8,26111,7,309,0.006,1.14,-1
2011,2,1,5.4,122.7,-2,0.9,0.8,30998,11.4,325,0.004,2.04,1
2011,2,2,3.6,358.8,-1.6,0.6,1.6,31632,17.2,336,0.004,3.29,3
2011,2,3,6.2,308.2,4.3,1.4,2.1,21992,13.1,337,0.003,2.51,3
2011,2,4,6.9,276.7,4.7,0.1,0.3,27272,11.8,336,0.002,2.24,3
2011,2,5,6.8,272.2,4.7,0.4,0.3,29848,11.5,335,0.002,2.17,3
2011,2,6,6.7,276.9,4.5,0.2,0.3,23687,13.1,331,0.002,2.42,5
2011,2,7,5.3,315,0.8,0.9,3.3,46322,13,330,0.006,2.42,3
2011,2,8,5.5,339.8,-0.1,0.2,1.3,79815,9.6,351,0.006,2.02,-2
2011,2,9,5.3,338.2,1.9,0.5,0.6,74851,10,350,0.006,2.09,0
2011,2,10,5.7,42,0.7,0.3,0.6,59198,12,336,0.007,2.33,1
2011,2,11,4.9,48.4,1.6,1,1.1,50569,14.1,333,0.009,2.71,5
2011,2,12,6.3,19.7,0,1,1.6,54227,12.5,338,0.01,2.48,6
2011,2,13,6.4,11.1,-0.9,0.5,0.5,56402,10.7,339,0.008,2.12,7
2011,2,14,5.8,338.2,0.2,0.3,1.5,57414,10.6,332,0.01,2.03,5
2011,2,15,6.3,351,-3.9,0.2,0.6,43986,9.6,338,0.008,1.89,4
2011,2,16,6.9,322.7,-1.3,0.4,1.6,56815,9.1,333,0.014,1.78,2
2011,2,17,7.5,316,2.2,0.6,1.9,61179,8.1,336,0.012,1.6,-1
2011,2,18,6.2,304.5,0.6,0.2,1.9,90761,6.9,353,0.017,1.53,-2
2011,2,19,5.8,306.3,-2.1,0.6,0.9,51961,8.8,358,0.008,1.94,-2
2011,2,20,4.8,313.8,-0.4,0.2,0.7,28172,11.5,362,0.004,2.56,-2
2011,2,21,5.4,325,0.6,0.3,0.8,21521,9.6,359,0.004,2.1,0
2011,2,22,5.9,317.6,-1,0.4,0.3,44050,6.8,353,0.006,1.45,-2
2011,2,23,6.2,328.1,-0.6,0.1,0.3,62096,6.6,349,0.014,1.42,-4
2011,3,0,6.2,324.8,-1.2,0.1,0.3,60440,6,342,0.012,1.23,-3
2011,3,1,6.2,316.8,-0.9,0.2,0.6,70002,6.6,340,0.012,1.34,-3
2011,3,2,6,318.8,-1.3,0.2,0.7,39301,6.8,337,0.006,1.32,-3
2011,3,3,5.8,313,-1.3,0.2,0.2,21841,7.5,335,0.006,1.44,-2
2011,3,4,5.5,349.6,-1.6,0.2,0.2,15726,9.1,346,0.004,1.85,-1
2011,3,5,5.3,347.6,-1.2,0.1,0.2,14787,10,350,0.005,2.09,0
2011,3,6,5.5,340.5,-0.1,0.1,0.5,13661,10.8,347,0.004,2.21,0
2011,3,7,6.1,336.3,-0.4,0.3,0.6,14162,11.3,344,0.005,2.28,2
